Reference_Species	Species	Genus	Subfamily	Family	Order	Class	Phylum	Kingdom	Realm	
Reference_MZ130491	Bohxovirus oralis	Bohxovirus	Oafivirinae	Suoliviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MT774411	Buhlduvirus animalis	Buhlduvirus	Oafivirinae	Suoliviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MT774410	Buhlduvirus porcinus	Buhlduvirus	Oafivirinae	Suoliviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MT774402	Burzaovirus coli	Burzaovirus	Oafivirinae	Suoliviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MT774406	Burzaovirus faecalis	Burzaovirus	Oafivirinae	Suoliviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MZ130497	Burzaovirus intestinihominis	Burzaovirus	Oafivirinae	Suoliviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MT774409	Cacepaovirus simiae	Cacepaovirus	Oafivirinae	Suoliviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MT774408	Chuhaivirus simiae	Chuhaivirus	Oafivirinae	Suoliviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MZ130500	Aurodevirus hiberniae	Aurodevirus	Uncouvirinae	Suoliviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MT774407	Aurodevirus hominis	Aurodevirus	Uncouvirinae	Suoliviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MT774404	Aurodevirus intestinalis	Aurodevirus	Uncouvirinae	Suoliviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MT774379	Besingivirus coli	Besingivirus	Uncouvirinae	Suoliviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MT774405	Birpovirus hiberniae	Birpovirus	Uncouvirinae	Suoliviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MZ130494	Birpovirus hominis	Birpovirus	Uncouvirinae	Suoliviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_AP017903	Dechshavirus japanensis	Dechshavirus	NA	Suoliviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_ON649701	Mathaucavirus yangshanense	Mathaucavirus	NA	Yangangviridae	Juravirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
